Manufacturer,Model,Mode,Laser Power (W),AM Process,General Material Type,Specific Material Type,X (in),Y (in),Z (in),Price (USD)
EOS,EOSINT M 270,Xtended,200,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Nickel, Steel, Titanium",9.85,9.85,8.5,"$250,000 - $499,999"
EOS,EOSINT M 280,N/A,400,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Cobalt, Nickel, Steel, Titanium",9.85,9.85,12.8,"$250,000 - $499,999"
EOS,EOSINT M 280,N/A,200,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Cobalt, Nickel, Steel, Titanium",9.85,9.85,12.8,"$250,000 - $499,999"
EOS,EOSINT P 350,N/A,,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass",,,,Price not reported
EOS,EOSINT P 360,N/A,,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Metal, PS",,,,Price not reported
EOS,EOSINT P 380,N/A,50,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Metal, PS",13.4,13.4,24.4,Price not reported
EOS,EOSINT P 380i,N/A,,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Metal, PS",,,,Price not reported
EOS,EOSINT P 385,N/A,,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Metal, PS",13.4,13.4,24.4,Price not reported
EOS,EOSINT P 390,N/A,50,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Metal, PS",13.4,13.4,24.4,Price not reported
EOS,EOSINT P 395,Basic,50,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Metal, PS, TPE",13.4,13.4,24.4,Price not reported
EOS,EOSINT P 395,Surface,50,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Carbon, PA-Glass, PA-Metal, PS, TPE",13.4,13.4,24.4,Price not reported
EOS,EOSINT P 700,N/A,50,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Metal, PS",27.6,15,22.9,Price not reported
EOS,EOSINT P 730,N/A,50,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Metal, PS",27.6,15,22.9,Price not reported
EOS,EOSINT P 760,Basic,50,Powder Bed Fusion (e.g. SLS),"Composite, Polymer","PA, PA-Glass, PA-Metal, PS",27.6,15,22.9,"$500,000 - $999,999"
