Material Supplier,Material Name,General Material Type,Specific Material Type,Post Processed,Ultimate Tensile Strength Min (MPa),Ultimate Tensile Strength Max (MPa),Tensile Modulus Min (MPa),Tensile Modulus Max (MPa),Elongation at Break Min (%),Elongation at Break Max (%),Flexural Strength Min (MPa),Flexural Strength Max (MPa),Flexural Modulus Min (MPa),Flexural Modulus Max (MPa),Hardness Shore Scale,Hardness Min,Hardness Max,HDT Min (C),HDT Max (C),Glass Transition Temp Min (C),Glass Transition Temp Max (C),Part Density (g/cm3),Flammability,USP Class VI Certified
LPW,LPW 6061,Metal,Aluminum,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW 625,Metal,Nickel,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW 64,Metal,Cobalt,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW 7050,Metal,Aluminum,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW 7075,Metal,Aluminum,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW 718,Metal,Nickel,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW 77,Metal,Nickel,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW 800,Metal,Cobalt,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW AlSi10Mg,Metal,Aluminum,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW AlSi12,Metal,Aluminum,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW Co6,Metal,Cobalt,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW CoCr-2LC,Metal,Cobalt,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW CpTi,Metal,Titanium,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW Cu,Metal,Copper,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW H13,Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW H230,Metal,Nickel,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW M2,Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW M300 (18Ni300),Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW Ti6242,Metal,Titanium,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW Ti64 (AMS 4998),Metal,Titanium,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW Ti64 Gd23,Metal,Titanium,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW Ti64 Gd5,Metal,Titanium,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW WASP,Metal,Nickel,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW WC CoCr,Composite,Cermet,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW X-2LC,Metal,Nickel,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Aluminum 4047,Metal,Aluminum,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Cobalt Stellite 21,Metal,Cobalt,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Composite CrC,Composite,Carbon-Metal Composite,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Composite TiC,Composite,Carbon-Metal Composite,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Composite WC,Composite,Carbon-Metal Composite,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Copper - CuNi,Metal,Copper,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Copper GRCop-84,Metal,Copper,No,,,,,,,,,,,,,,,,,,,,No
Optomec,CP Titanium,Metal,Titanium,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Hastelloy X,Metal,Nickel,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Inconel 625,Metal,Nickel,No,938,938,,,38,38,,,,,,,,,,,,,,No
Optomec,Inconel 690,Metal,Nickel,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Inconel 718,Metal,Nickel,No,,,,,,,,,,,,,,,,,,,,No
Optomec,MarM247,Metal,Nickel,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Refractory metal Mo,Metal,Refractory Metal,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Refractory metal N,Metal,Refractory Metal,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Refractory metal W,Metal,Refractory Metal,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Rene 142,Metal,Nickel,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Stainless Steel 13-8,Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Stainless Steel 15-5PH,Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Stainless Steel 17-4,Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Stainless Steel 304,Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Stainless Steel 304,Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Stainless Steel 309,Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Stainless Steel 309,Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Stainless Steel 410,Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Stainless Steel 416,Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Stainless Steel 420,Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
Optomec,Stainless Steel AM355,Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
